IVNO,genus_species,spec_as_int,B11_X,B11_Y,B11_Z,Na23_X,Na23_Y,Na23_Z,Mg26_X,Mg26_Y,Mg26_Z,Al27_X,Al27_Y,Al27_Z,P31_X,P31_Y,P31_Z,S34_X,S34_Y,S34_Z,K39_X,K39_Y,K39_Z,Ca44_X,Ca44_Y,Ca44_Z,Fe54_X,Fe54_Y,Fe54_Z,Mn55_Y,Mn55_X,Mn55_Z,Co59_X,Co59_Y,Co59_Z,Ni60_X,Ni60_Y,Ni60_Z,Cu63_X,Cu63_Y,Cu63_Z,Zn66_X,Zn66_Y,Zn66_Z,As75_X,As75_Y,As75_Z,Rb85_X,Rb85_Y,Rb85_Z,Sr88_X,Sr88_Y,Sr88_Z,Mo98_X,Mo98_Y,Mo98_Z,Cd111_X,Cd111_Y,Cd111_Z
1583,X_Vitis_acerifolia,1,-0.61541724,-0.44527066,0.5442199,-0.108559646,-0.8527952,-0.7294814,-0.83290243,-0.21589166,2.3076231,3.341614,-0.7781257,0.40270776,0.32563782,0.0833159,-0.09438487,-0.25271145,0.3657002,0.6792806,0.8111781,-0.63303816,-1.6133208,-1.2088299,-0.49094766,1.3300319,0.5735585,-0.6120797,0.35562563,-0.38423055,-0.47410357,0.41751665,-0.12572064,-0.48880094,0.23183653,-0.22024234,-0.32644,-0.21587825,0.5372404,0.5435409,-0.5313154,0.40626884,-0.7418833,0.16845986,2.305948,-0.050118666,1.0050151,1.4346567,-0.35102895,-0.83203304,-1.1400595,-0.48217818,1.0830368,-0.4896428,-0.7040135,-0.6642722,-0.24669845,-0.19220643,-0.04076089
318684,X_Vitis_acerifolia,1,0.14229316,0.08100748,-0.25987527,0.5688309,-0.45886377,0.947074,-0.4685193,-0.3527403,1.1651989,-0.36123526,-0.9261633,0.53751695,0.8561339,-1.0230497,-2.129472,-0.86990184,-0.018273082,-0.35372403,1.1726378,-0.760682,-0.5638642,-0.89483637,0.15445612,1.4257327,-0.74133205,0.2051912,-0.010129838,-0.916354,-0.12470456,1.8508871,-0.9752805,-0.004449752,1.5801729,-0.12425628,-0.27021226,-0.09715658,-0.5871817,-0.7538271,-1.0850979,-0.43283838,-0.6859941,0.6959709,-0.70197815,-0.62242544,-0.10881498,4.373755,0.5521397,0.06357272,-0.73553854,0.59833753,2.0353954,-0.29573146,0.014293013,-0.4594849,-0.20011063,-0.2206787,0.05509724
588141,X_Vitis_acerifolia,1,-1.3617622,-0.62740946,-0.15340099,-0.006666057,-0.79892004,0.48163828,-0.98824126,-0.6473791,2.5099478,-0.22468877,-0.9279384,0.56376666,0.48981878,-0.9087275,-1.3509549,-1.8541951,-0.57542187,0.046620622,0.40249696,-0.823121,-1.957869,-1.0222461,-0.54472613,0.9746937,-0.9001352,-0.5004241,1.1477495,-1.2060002,-0.7741348,1.5874212,-1.2989551,-0.88211,1.1653479,-0.41892874,-0.4807362,-0.22378308,-0.5695053,-0.8802344,-0.57817876,-0.81697744,-1.0268563,0.58555925,-0.02783977,-0.4884245,0.4793072,1.4342362,-0.16804636,-0.8110829,-0.93414843,-0.098050125,1.9934558,-0.57785875,-0.23764715,-0.049969018,0.45276967,-0.26353145,0.16271439
588144,X_Vitis_acerifolia,1,-0.82162654,-0.66997385,-0.38405967,-0.28895125,-0.6274895,0.30672696,-0.91243684,-1.0345763,0.013105726,-0.52821803,-0.755613,1.2775979,0.43345144,-0.51657957,-0.860153,-0.96699053,-0.91418195,-0.8263189,1.4180739,-0.3330312,-1.8613583,-0.9130947,-0.6380171,0.326862,-1.312939,-1.303384,-0.3158204,-1.2211668,-0.78935385,0.3787609,-1.3416604,-0.92105716,0.2214141,-0.32586613,-0.50952387,-0.2804742,-0.74960554,-0.9700011,-1.0439491,-0.583575,-0.94198346,0.24213606,-0.1293506,-0.54688513,-0.29326615,2.697287,0.6445139,-0.66979396,-1.0126201,-0.6757282,-0.0151938,-0.4507188,-0.20511961,0.12655592,0.22109547,-0.3811425,0.6734707
588324,X_Vitis_acerifolia,1,-0.13339718,-0.51982784,0.5119974,0.24236421,-0.54992425,0.508077,-0.9901337,-0.90542036,1.4324294,-0.2657366,-0.95640206,0.76098955,0.029499987,-0.6394839,-1.4073639,-0.9913798,-1.0189463,-0.38074857,0.93621814,-0.49346358,-1.9655274,-0.9479244,-0.6664872,1.1192352,-1.0511824,-0.93881553,0.24628606,-1.0937369,-0.69909877,0.9708331,-1.1983248,-0.8237017,0.7092258,-0.4825826,-0.5005007,-0.1904072,-0.7846148,-0.94110435,-0.97463536,-0.88959277,-0.9946898,0.6598713,-0.59768814,-0.6237229,0.72736365,0.37678707,-0.41761348,-0.8995788,-0.7308783,-0.08996264,2.5657296,-0.41807687,-0.21444748,0.21481007,-0.45525786,-0.48129317,-0.20976059
588325,X_Vitis_acerifolia,1,0.683033,-0.86866075,-0.4827019,0.02143452,-0.44456196,0.63864535,-1.0398065,-0.9324075,0.5416165,-0.37992537,-0.8569255,0.30778196,-0.002330006,-0.76934904,-1.7186962,-0.96636677,-0.5731795,-0.7593535,1.0620747,0.014289512,-2.0563335,-1.1002706,-0.76191753,0.53894216,-1.1895447,-0.9421834,-0.16629146,-1.2641591,-0.50481725,0.7945969,-1.3039688,-0.5682569,0.72055393,-0.485133,-0.4730126,-0.3726527,-0.99587697,-0.9977678,-1.0843372,-0.8948075,-0.79872334,0.24542986,-0.3308067,-0.47089377,-0.005395856,1.612562,0.49113432,-0.8013928,-1.0348278,-0.6700487,0.4636694,-0.5134947,-0.32262427,-0.07022113,-0.5038232,-0.2280125,-0.16851251
588378,X_Vitis_acerifolia,1,-0.4124257,-0.3190864,-0.47861105,-0.29717264,-0.5191238,-0.043084186,-1.0324754,-0.9681445,1.5583571,-0.22599825,-0.9811045,0.8624921,-0.32447731,-1.216655,-0.5788831,-0.8742862,-1.1883364,-0.79409504,0.8234675,-1.1876225,-1.8453592,-1.0833671,-0.77230924,0.6644005,-1.1991144,-0.8501141,0.52424,-0.7438229,-0.5077343,1.0457646,-0.7345145,-0.6867134,0.15422657,-0.44628572,-0.48629543,-0.4012175,-0.9445335,-1.1657915,-1.1473727,-0.22525102,-0.7972326,0.2791078,-0.360635,-0.48650983,0.45701793,1.5254893,-0.21677205,-0.7842502,-1.0647389,-0.70668304,0.30236712,-0.52364755,-0.5261816,-0.32258034,-0.3612032,-0.35522258,-0.00643363
588393,X_Vitis_acerifolia,1,-1.2308944,-0.5336065,-0.12810133,0.44159323,-0.145454,1.2856656,-1.0168748,-0.8843345,1.1729629,-0.03884647,-0.7211607,0.52118903,0.0589003,-0.36909214,0.33666283,-0.09905634,-0.13397197,0.06369381,0.85879827,0.013763136,-2.2262812,-0.7696692,-0.5128504,1.5962771,-0.74381727,-0.10789099,0.58042556,-0.59105474,-0.25115538,1.5934691,-0.6882073,-0.321942,1.5022252,-0.43982127,-0.45899913,-0.28885373,-0.79174244,-1.0061349,-1.1407019,-0.86006707,-0.843523,0.33036265,-0.022739587,-0.39952403,1.2426982,2.4858494,0.7760021,-0.83208257,-0.64979947,-0.12949212,2.3560333,-0.20039755,-0.032085627,0.10594411,-0.39484438,-0.42312995,-0.21107657
588442,X_Vitis_acerifolia,1,2.2750416,0.3609661,-0.1827435,0.05110909,-0.32139555,0.86619806,-0.8635939,-1.1122113,-0.50075614,-0.2458381,-0.9134042,0.65923727,0.19257586,-1.5102808,-1.9845407,-0.5099159,-1.6656754,-0.14879957,1.1059576,-0.7439126,-1.1735787,-1.117214,-0.6440608,-0.14160475,-0.55709547,-0.34392396,0.8961587,-0.9548675,-0.64147305,1.5571123,-0.76416165,-0.7308307,1.5016649,-0.27347827,-0.4597879,-0.26486248,-0.23121317,-0.98003227,-1.1002796,13.572814,0.16254576,2.400447,-0.16040172,-0.5159492,0.38211098,1.6312728,-0.18040143,-0.64180917,-1.0905644,-0.5006589,-0.098129906,-0.30286464,-0.11532204,-0.15459844,-0.11074844,-0.13892886,-0.08244128
588448,X_Vitis_acerifolia,1,-1.4701722,-0.7354787,-0.62169147,-0.6428965,-0.8471439,-0.08440667,-0.73009485,-0.8550136,-0.06200694,0.33280343,-0.9123467,1.2513961,0.27944803,0.16964509,0.95281047,-0.2700465,-0.4513218,0.48666713,0.578685,-0.70764345,-0.96636593,-1.0414058,-0.016144574,1.1312844,-0.3076993,-0.57886356,-0.033027377,-0.8298113,-0.71176517,2.0495424,-0.8005861,-0.88072515,1.1514117,-0.37285206,-0.48791564,-0.21923566,0.11911764,-0.67303544,-0.97347116,-0.07479545,-1.0024668,0.4030917,-0.423953,-0.732716,0.21776259,2.9203188,0.26224312,-0.39565188,-1.1255248,-0.19091703,0.7074606,-0.5435052,-0.23155208,-0.06740105,0.06298372,-0.03134466,0.28964368
