Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684_y,Vitis_acerifolia,1,0.08100748,-0.45886377,-0.3527403,-0.9261633,-1.0230497,-0.018273082,-0.760682,0.15445612,0.2051912,-0.12470456,-0.004449752,-0.27021226,-0.7538271,-0.6859941,-0.62242544,0.5521397,0.59833753,0.014293013,-0.2206787
588141_y,Vitis_acerifolia,1,-0.62740946,-0.79892004,-0.6473791,-0.9279384,-0.9087275,-0.57542187,-0.823121,-0.54472613,-0.5004241,-0.7741348,-0.88211,-0.4807362,-0.8802344,-1.0268563,-0.4884245,-0.16804636,-0.098050125,-0.23764715,-0.26353145
588646_y,Vitis_acerifolia,1,-0.5074091,-0.6500073,-0.044509254,-0.8611011,0.38064286,0.03962948,0.11588148,-0.077838935,-0.4686644,-0.69874436,-0.92614627,-0.30808172,-0.33752677,-0.97386366,-0.71970195,-0.25303012,-0.04403677,-0.013816528,0.6014377
588378_y,Vitis_acerifolia,1,-0.3190864,-0.5191238,-0.9681445,-0.9811045,-1.216655,-1.1883364,-1.1876225,-0.77230924,-0.8501141,-0.5077343,-0.6867134,-0.48629543,-1.1657915,-0.7972326,-0.48650983,-0.21677205,-0.70668304,-0.5261816,-0.35522258
1583_y,Vitis_acerifolia,1,-0.44527066,-0.8527952,-0.21589166,-0.7781257,0.0833159,0.3657002,-0.63303816,-0.49094766,-0.6120797,-0.47410357,-0.48880094,-0.32644,0.5435409,-0.7418833,-0.050118666,-0.35102895,-0.48217818,-0.7040135,-0.19220643
588459_y,Vitis_acerifolia,1,-0.09502938,-0.61081326,-0.8309837,-0.9115214,-1.3977253,-0.0700164,-0.6251569,-0.50212026,-0.13994013,-0.41022167,-0.12853979,-0.38234118,-0.7411225,-0.7331896,-0.7097026,0.8010134,-0.5029833,0.08276572,-0.26905137
588448_y,Vitis_acerifolia,1,-0.7354787,-0.8471439,-0.8550136,-0.9123467,0.16964509,-0.4513218,-0.70764345,-0.016144574,-0.57886356,-0.71176517,-0.88072515,-0.48791564,-0.67303544,-1.0024668,-0.732716,0.26224312,-0.19091703,-0.23155208,-0.03134466
588144_y,Vitis_acerifolia,1,-0.66997385,-0.6274895,-1.0345763,-0.755613,-0.51657957,-0.91418195,-0.3330312,-0.6380171,-1.303384,-0.78935385,-0.92105716,-0.50952387,-0.9700011,-0.94198346,-0.54688513,0.6445139,-0.6757282,-0.20511961,-0.3811425
588325_y,Vitis_acerifolia,1,-0.86866075,-0.44456196,-0.9324075,-0.8569255,-0.76934904,-0.5731795,0.014289512,-0.76191753,-0.9421834,-0.50481725,-0.5682569,-0.4730126,-0.9977678,-0.79872334,-0.47089377,0.49113432,-0.6700487,-0.32262427,-0.2280125
588393_y,Vitis_acerifolia,1,-0.5336065,-0.145454,-0.8843345,-0.7211607,-0.36909214,-0.13397197,0.013763136,-0.5128504,-0.10789099,-0.25115538,-0.321942,-0.45899913,-1.0061349,-0.843523,-0.39952403,0.7760021,-0.12949212,-0.032085627,-0.42312995
