Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684_z,Vitis_acerifolia,1,-0.25987527,0.947074,1.1651989,0.53751695,-2.129472,-0.35372403,-0.5638642,1.4257327,-0.010129838,1.8508871,1.5801729,-0.09715658,-1.0850979,0.6959709,-0.10881498,0.06357272,2.0353954,-0.4594849,0.05509724
588141_z,Vitis_acerifolia,1,-0.15340099,0.48163828,2.5099478,0.56376666,-1.3509549,0.046620622,-1.957869,0.9746937,1.1477495,1.5874212,1.1653479,-0.22378308,-0.57817876,0.58555925,0.4793072,-0.8110829,1.9934558,-0.049969018,0.16271439
588646_z,Vitis_acerifolia,1,-0.49240234,-0.42969662,2.1162736,0.85598207,1.1894522,0.5384846,-0.6853185,1.5427276,1.3418761,0.775126,0.32480815,-0.34547186,-0.3811401,0.24740276,0.23786293,-0.6966415,1.2595102,0.45097256,0.022697318
588378_z,Vitis_acerifolia,1,-0.47861105,-0.043084186,1.5583571,0.8624921,-0.5788831,-0.79409504,-1.8453592,0.6644005,0.52424,1.0457646,0.15422657,-0.4012175,-1.1473727,0.2791078,0.45701793,-0.7842502,0.30236712,-0.32258034,-0.00643363
588459_z,Vitis_acerifolia,1,0.40834975,0.28694904,0.4474545,1.7584988,-1.5728395,0.8066494,-1.8650719,0.69355655,2.774141,0.93422,1.3411037,-0.17855209,-0.9525023,0.18927903,1.0885451,-0.39859673,0.52481216,0.19599144,0.014384548
1583_z,Vitis_acerifolia,1,0.5442199,-0.7294814,2.3076231,0.40270776,-0.09438487,0.6792806,-1.6133208,1.3300319,0.35562563,0.41751665,0.23183653,-0.21587825,-0.5313154,0.16845986,1.0050151,-0.83203304,1.0830368,-0.6642722,-0.04076089
588448_z,Vitis_acerifolia,1,-0.62169147,-0.08440667,-0.06200694,1.2513961,0.95281047,0.48666713,-0.96636593,1.1312844,-0.033027377,2.0495424,1.1514117,-0.21923566,-0.97347116,0.4030917,0.21776259,-0.39565188,0.7074606,-0.06740105,0.28964368
588144_z,Vitis_acerifolia,1,-0.38405967,0.30672696,0.013105726,1.2775979,-0.860153,-0.8263189,-1.8613583,0.326862,-0.3158204,0.3787609,0.2214141,-0.2804742,-1.0439491,0.24213606,-0.29326615,-0.66979396,-0.0151938,0.12655592,0.6734707
588324_z,Vitis_acerifolia,1,0.5119974,0.508077,1.4324294,0.76098955,-1.4073639,-0.38074857,-1.9655274,1.1192352,0.24628606,0.9708331,0.7092258,-0.1904072,-0.97463536,0.6598713,0.72736365,-0.8995788,2.5657296,0.21481007,-0.20976059
588325_z,Vitis_acerifolia,1,-0.4827019,0.63864535,0.5416165,0.30778196,-1.7186962,-0.7593535,-2.0563335,0.53894216,-0.16629146,0.7945969,0.72055393,-0.3726527,-1.0843372,0.24542986,-0.005395856,-0.8013928,0.4636694,-0.07022113,-0.16851251
588393_z,Vitis_acerifolia,1,-0.12810133,1.2856656,1.1729629,0.52118903,0.33666283,0.06369381,-2.2262812,1.5962771,0.58042556,1.5934691,1.5022252,-0.28885373,-1.1407019,0.33036265,1.2426982,-0.83208257,2.3560333,0.10594411,-0.21107657
