INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684,Vitis_acerifolia,1,-0.15062377,-0.17376655,0.5524141,-0.77457774,0.50387573,-0.60817516,0.77873933,-0.21517603,-0.5759266,-0.5889145,-0.6780949,-0.1489704,-0.97129315,-0.4397451,-0.52514774,3.1700964,0.46382153,-0.17011558,-0.23456247
588141,Vitis_acerifolia,1,-1.157707,-0.6298688,-1.2783877,-0.54435545,-0.16304684,-2.0957704,-0.72015244,-0.6221413,-0.91156846,-1.2465966,-1.2061557,-0.5352978,-0.95174193,-0.7566423,0.00800447,0.53513175,-0.32883102,-0.5450718,1.3782715
588646,Vitis_acerifolia,1,0.45521155,-0.7687598,1.1527828,0.6643774,1.6991785,0.5431995,1.6103895,-0.019971056,0.62667394,-0.91666216,-0.9574001,-0.5891696,-0.09217794,-0.5921931,-0.53718007,0.45167646,-0.37879896,-0.11159145,-0.53610873
588448,Vitis_acerifolia,1,-1.230296,-1.1341045,-0.3690267,0.39559639,-0.5460532,0.2984062,-0.37724537,-0.68334013,0.34058735,-0.39240715,-0.39308858,-0.47488943,-0.19008529,-0.14437601,-0.30526745,1.8672462,-1.0926149,-0.49941477,0.41536906
1583,Vitis_acerifolia,1,-0.65797037,-0.71062315,-0.73118246,5.4685593,-0.46195886,0.32460526,0.07524587,-1.2181171,2.203189,0.6193458,0.7079248,-0.27481195,0.27238262,0.25248006,1.8537147,0.53550875,-1.1506228,-0.42782995,-0.34965006
588459,Vitis_acerifolia,1,-0.9072878,-0.9325936,0.27554163,1.0612255,-1.3493667,-0.14339814,0.96384746,-0.2191777,-0.413407,-0.49596384,0.45566908,-0.26544926,-0.5422716,0.19701374,-0.089614056,2.6642787,-0.6323858,-0.1655672,0.7528303
588378,Vitis_acerifolia,1,-0.52205163,-0.8601058,-1.4342091,-0.54656327,-1.6455749,-0.61480135,0.09916423,-0.8173709,-1.5434825,-0.19715853,-0.28529564,-0.5711639,-1.3665448,-0.268495,-0.2551915,0.61693054,-0.85001785,-0.47302333,-0.63251525
588144,Vitis_acerifolia,1,-0.79604375,-0.8535901,-1.0113548,-1.0561167,-0.26567063,-0.75490856,1.256421,-0.27349582,-1.784059,-1.2810345,-1.2758276,-0.413289,-1.1509433,-0.564096,-0.07227685,1.6673218,-0.64201176,-0.37609872,0.8059583
588393,Vitis_acerifolia,1,-1.0700808,-0.27460703,-1.3792536,-0.23101865,-0.94758797,0.55682933,0.16792707,0.18462609,-0.5811792,0.14972268,-0.20974758,-0.56268877,-1.1975491,-0.7921893,0.012038024,1.4777907,0.80600667,-0.043413773,-0.71562034
588325,Vitis_acerifolia,1,0.21144402,-0.60759807,-1.4600341,-0.80608994,-1.0590653,-0.75396585,0.56355494,-0.87136316,-1.5232562,-1.3786541,-1.2143353,-0.6220943,-1.4233336,-0.8208486,-0.23160137,0.69498175,-0.7306428,-0.45952988,-0.9848348
588324,Vitis_acerifolia,1,-0.3352201,-0.43250325,-1.2850541,-0.6135636,-1.0011148,-0.79176885,0.31860593,-0.38474694,-1.2308176,-0.99168694,-1.0419819,-0.6187506,-1.1896656,-0.8165466,-0.44266847,-0.41275835,0.4824208,-0.33271655,-0.86486197
588442,Vitis_acerifolia,1,1.277419,-0.58407986,-0.8392978,-0.580014,-0.7042148,-0.064116396,0.6489627,-0.92548263,-0.18652932,-0.6763647,-0.3336637,-0.3446064,-0.5775714,11.11428,-0.096834086,0.711754,-0.95308775,-0.1795958,-0.013807823
588677,Vitis_aestivalis,2,-0.44950175,1.301553,0.6139199,0.3960453,0.66312987,0.6489715,0.3461657,0.27144793,0.87129456,0.8968115,1.1175125,0.5912865,2.3911223,0.5151363,0.11471894,0.21870103,-0.10859083,-0.46650577,0.21632029
237621,Vitis_aestivalis,2,-0.8898683,-0.9778117,1.348812,0.90533864,0.9482873,-0.12066015,-1.2214452,0.31494966,0.20199701,-0.006570346,-0.2007925,-0.41623676,0.046360046,-0.29776302,-0.028981749,-0.12460897,-0.07382121,0.13247302,-0.85042226
483138,Vitis_aestivalis,2,0.285543,1.120194,-0.04891261,0.19074383,-0.26351076,0.05048865,-0.48987535,-0.17008498,-0.068957925,-0.24072143,-0.2504604,0.07364411,-0.014832557,0.032065343,0.17400181,-0.4701061,-0.23785979,-0.7139892,1.4332293
483143,Vitis_aestivalis,2,-0.82867837,-0.71726894,-0.13221708,-0.2342666,-0.6666384,0.47351295,-0.62553394,0.21639398,0.26842985,0.5095833,0.4113305,0.00930591,0.03673806,0.04146166,0.15623496,-0.89924985,-0.23891842,-0.7203722,0.4690703
588626,Vitis_aestivalis,2,-0.95769167,-0.9103721,-1.7431959,-0.8777577,-0.403196,-1.5465302,-0.2488742,-1.2472941,-0.3074856,-0.36739638,-0.13917744,-0.11988947,0.29864502,-0.2488461,-0.16818862,-0.71843857,-1.204584,-0.32046998,-0.1638394
483130,Vitis_aestivalis,2,0.0228219,-0.51511234,0.19618884,-0.49882635,0.0878286,0.31796324,-0.22035845,-0.47828633,-0.85142636,-0.42330983,-0.3689362,-0.47628564,0.34249347,-0.26034105,-0.44660556,-0.7057398,-0.29802525,-0.7619186,-0.42104223
588199,Vitis_cinerea,3,0.30688375,-0.04493432,2.4139662,2.057596,1.670375,1.9448582,-0.41262016,0.48894212,2.5307083,5.238868,5.7733,4.959486,2.4374256,2.2626603,1.4975498,3.2144432,-0.1737983,-0.051641315,0.5406702
588200,Vitis_cinerea,3,0.30485672,2.9146926,0.7863667,0.9164859,-0.2255779,0.24185334,-1.29541,1.3620814,0.42779228,1.5983804,1.4205364,0.4577314,1.4111089,0.101373,-0.073251545,0.27392763,1.4057163,1.0630614,0.37164927
588198,Vitis_cinerea,3,-1.1814072,-0.06856894,0.5245999,0.4048653,0.41921347,-1.2541677,-0.9292086,2.8121018,0.23451076,0.33396268,1.7513548,0.59551305,0.31600702,0.46178713,0.063950896,0.9071505,2.890348,0.8070297,-0.325199
588205,Vitis_cinerea,3,-0.5400387,2.1289797,0.40273795,1.2980506,0.4296902,-1.9731245,-2.0304182,0.21848434,0.9115351,0.4813227,1.3729547,-0.15550974,0.5155308,0.5946726,0.16830339,0.1466614,-0.20930108,-0.3677258,0.13874015
588134,Vitis_cinerea,3,0.3900131,1.853081,0.87065595,-0.712032,0.19563462,0.110189445,0.5260925,1.056786,-0.413438,0.36073497,0.2747294,1.0223984,2.4730935,0.7211481,-0.35314915,-0.84737444,0.5100246,1.3475975,1.0625725
588217,Vitis_cinerea,3,0.013897221,-0.6103294,1.0714737,-0.82792366,0.025346247,2.2770767,0.5367774,1.4267086,0.42656058,0.5230471,0.023528839,-0.40597758,0.28872755,-0.6289866,-0.4482966,0.34383518,1.3956736,1.6323473,0.19908209
588398,Vitis_cinerea,3,-0.8800503,0.066071205,0.37435424,-0.55873674,1.190188,-0.93262815,1.2794443,0.29942724,0.92953557,0.048654065,0.35552645,0.99398804,1.728659,0.01909676,-0.34661493,-0.6010139,0.09995071,0.05839211,0.21657035
588356,Vitis_cinerea,3,-0.67780423,1.2709177,0.21315442,0.89468014,1.1550155,0.00594568,-2.1498249,2.0339763,1.4906218,2.0383344,1.8336198,1.1433107,1.9587818,0.29669473,-0.26267576,-0.7737546,0.6317226,0.08721214,-0.2713796
588221,Vitis_cinerea,3,-0.02505881,1.7351277,0.43484306,0.4786977,1.4456531,2.3342118,-0.09655829,2.9609606,0.0696585,1.3536607,0.73832816,-0.21196562,0.8362238,0.29598412,0.07855096,-0.7029435,2.4562094,2.75531,0.6311496
588154,Vitis_cinerea,3,0.7182378,1.5310682,-0.16715764,-0.48658577,0.9117245,1.1180964,-0.32814535,2.0448277,0.75889707,1.7043128,0.6387433,0.07131821,1.7947367,0.10434231,0.1215828,-0.7588383,2.2606585,1.4674317,0.05396597
588208,Vitis_cinerea,3,-0.96404314,-0.514219,3.5557137,0.7544605,2.7025695,0.6973668,0.1473464,5.9546137,4.3710227,2.9923952,2.5211575,2.862218,5.8487806,3.294609,-0.08001374,0.53776884,4.58465,1.5472234,0.5682104
588186,Vitis_cinerea,3,-0.024644712,1.2165534,-0.5206446,-0.49338326,1.2642795,0.089403465,-0.20797722,2.4781556,-0.045173407,1.0410445,0.43601558,0.16920702,1.4676839,0.47867912,-0.40604052,-0.7719828,1.9242741,4.525313,0.10202175
588197,Vitis_cinerea,3,-0.04644482,0.73867065,0.824099,0.013110744,0.56882626,0.86891454,1.6376024,-0.036395088,0.58922505,0.95491576,0.9404111,1.8706797,0.5867815,-0.025478626,0.025981179,-0.37113196,-0.33833024,1.8362241,0.14266548
588218,Vitis_cinerea,3,-0.7498231,1.6505963,-0.29884148,-0.09282966,0.80363995,-0.17970303,-0.3754069,1.9299945,4.2217064,0.732242,0.7752258,2.6046531,2.7052972,2.510275,0.4923385,0.119996615,0.62141275,3.3619783,2.2579331
171,Vitis_cinerea,3,-0.42606682,-0.89663625,-1.3780037,-0.51525337,-1.1058936,-0.6132733,-1.8175321,-0.1843027,1.7898269,0.96899176,0.65368253,-0.23371454,1.0583818,0.007121168,0.11440352,-1.1241056,-0.14186151,-0.77997535,0.67942435
588575,Vitis_cinerea,3,-1.1800478,-0.9166971,0.3263436,-0.30615753,1.7333785,0.5329343,1.3363918,1.1608837,0.43114448,0.78201014,0.50927514,0.52366203,1.6484702,0.28997955,-0.069510095,-0.48938957,0.54162705,7.6274085,0.009763821
597232,Vitis_cinerea,3,-0.914352,0.030831581,-0.51775646,0.46979904,0.6357792,0.6991262,1.2907311,0.6425297,1.2050024,0.28659955,0.50297385,2.703543,1.1287161,0.9317162,0.24935424,-0.15266865,-0.2002285,1.2300053,9.723923
588678,Vitis_cinerea,3,-0.28835553,0.47529522,-0.22817455,0.90573347,0.82490593,0.72643876,0.31719473,0.25108424,0.08817114,0.72316235,0.58788395,1.4167031,2.3465466,1.0327287,0.21269752,0.17022988,-0.45116425,3.0911875,0.35592136
588466,Vitis_cinerea,3,-1.2428906,-0.89803797,0.68930745,-0.38217795,-1.3690683,-0.57409495,-1.1003653,1.1503135,-0.3901361,0.45103255,0.010059507,-0.44037223,0.38426742,-0.24986576,-0.26211405,-0.72318065,0.59332085,0.2765296,-0.1955305
588685,Vitis_cinerea,3,-0.45045602,1.8449055,1.395004,0.5029425,0.80610543,0.21590152,0.14947648,2.3294432,0.20683756,0.5951546,0.03191132,1.6676633,0.55338496,-0.04879685,0.7736606,0.03142131,2.0777164,2.5413806,1.1780899
588460,Vitis_cinerea,3,-1.2896203,-0.6701269,-0.7841443,0.17391378,-0.18260638,0.017014615,-0.30908906,0.25341415,0.002464974,0.7338963,1.2355479,0.13690048,1.3844985,0.05264004,-0.05904336,0.85427123,-0.13386127,1.7412657,-0.23822333
588328,Vitis_cinerea,3,0.9946487,-0.044621315,0.75533986,0.16467156,0.7126657,-0.41346735,0.23656051,1.7513707,1.5482553,0.96776026,1.0284379,2.6709428,1.2817819,0.54596674,-0.1672521,-0.5824016,0.9569916,1.1547006,0.47545588
588143,Vitis_cinerea,3,-0.16546005,-0.12657379,-0.001686419,1.4649559,1.0794679,0.58219653,0.4221022,1.7772309,1.4087929,1.5375874,1.1001759,0.4366626,1.7832999,0.19160952,0.012139478,-0.19262707,0.80460626,2.1596916,0.4370445
588372,Vitis_cinerea,3,1.3888104,3.205989,0.76443595,0.98852223,1.4593178,-0.25412306,1.6805722,-0.18329754,2.3155656,0.37286988,0.5497812,1.878515,2.9575717,0.45755982,0.021405213,-0.34527528,-0.48598093,1.2279907,1.8909822
588329,Vitis_cinerea,3,-0.6922776,0.32779017,-0.64006066,3.4168603,0.2847293,1.0356548,0.8389726,-0.517059,1.6194917,4.584195,4.0558615,4.149048,1.8169765,0.9372035,0.26376423,-0.44851217,-0.70754594,0.4926909,0.4517585
588352,Vitis_cinerea,3,-1.239074,-0.2889462,-1.9706005,-0.7287439,-3.2030745,-1.5854284,-3.5722523,0.63283694,-1.0004908,-0.3885356,-0.43964753,0.8002951,0.16662034,-0.37817398,-0.43572184,-1.1773179,0.6725535,-0.18865502,-0.289467
588220,Vitis_cinerea,3,0.1823395,1.054222,1.6223118,-0.9216696,0.54546463,0.87254745,-0.4166921,1.9229823,1.0510224,0.82638353,0.47726503,0.63149816,1.4734443,-0.16595888,-0.44138557,-0.41371784,4.0650167,1.0324578,-0.1317986
588222,Vitis_cinerea,3,1.5239784,2.3531222,0.19748425,-0.48551783,1.0374311,0.6321193,-0.18982176,1.1037538,0.8925603,1.238825,1.4592782,1.2922359,2.813715,0.06451907,-0.0946704,-0.21235447,0.42645475,1.0632381,1.287778
588128,Vitis_labrusca,4,-0.670673,2.1955261,1.0258327,-0.42234686,0.3703836,0.22951211,0.6751034,-0.054013796,0.83985215,0.13804957,0.056346387,-0.24102409,0.78929204,-0.27827936,-0.6388986,-0.24370393,0.97634524,2.515906,-0.52912945
