INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684,Vitis_acerifolia,1,0.7256009,0.1877933,0.13816066,-0.28574574,-1.10252,-0.015268311,-1.1610461,1.1418287,0.98018736,0.7754623,0.63999027,-0.21708654,-0.79670364,-0.13465354,-0.3897885,1.0201229,1.8805667,0.05715447,-0.34963393
588141,Vitis_acerifolia,1,-0.8085938,-0.6039155,-0.5329596,-0.2872207,-0.9587197,-0.6935929,-1.242423,-0.51522666,-0.20329016,-0.8309451,-0.814693,-0.5512448,-0.92070764,-0.86431223,-0.21702231,-0.05661423,0.3149371,-0.22708996,-0.4732453
588646,Vitis_acerifolia,1,-0.548713,-0.25722137,0.8402409,-0.2316838,0.6631162,0.055227645,-0.018619617,0.59129155,-0.150022,-0.644462,-0.88768125,-0.27719554,-0.3883182,-0.7508749,-0.5152063,-0.18367194,0.4363708,0.025440667,2.021811
588378,Vitis_acerifolia,1,-0.14086892,0.047497634,-1.2635901,-0.33139783,-1.3460464,-1.439812,-1.7174785,-1.0545965,-0.7898001,-0.17198633,-0.49083176,-0.5600688,-1.2008356,-0.37277374,-0.21455374,-0.12946314,-1.0534009,-0.5526209,-0.73773396
1583,Vitis_acerifolia,1,-0.41414192,-0.7293461,0.44987074,-0.16273734,0.28912318,0.45221636,-0.99468786,-0.38777223,-0.39056203,-0.0887986,-0.1628005,-0.30633512,0.47599822,-0.2542915,0.34808156,-0.3301882,-0.5486655,-0.7532548,-0.26750392
588459,Vitis_acerifolia,1,0.3443638,-0.16597092,-0.95116913,-0.27357936,-1.573806,-0.07826543,-0.98441607,-0.41425124,0.40132353,0.069217406,0.43431652,-0.39506534,-0.78424054,-0.23568158,-0.5023142,1.3922094,-0.59543985,0.13440688,-0.4891678
588448,Vitis_acerifolia,1,-1.0426357,-0.71618885,-1.0059037,-0.2742652,0.39771244,-0.54250205,-1.091921,0.7375066,-0.3348511,-0.6766698,-0.81239766,-0.5626405,-0.71744806,-0.81210333,-0.53198516,0.5867037,0.1061523,-0.22021337,0.19651167
588144,Vitis_acerifolia,1,-0.9007741,-0.20479609,-1.4149067,-0.14403093,-0.46545595,-1.1060308,-0.60368824,-0.73632544,-1.5500369,-0.8685904,-0.8792463,-0.5969386,-1.0087676,-0.6826312,-0.29239506,1.1582298,-0.9838077,-0.19039169,-0.81250155
588325,Vitis_acerifolia,1,-1.3310635,0.22109032,-1.1821895,-0.22821419,-0.7834023,-0.69086283,-0.1510246,-1.0299683,-0.9442212,-0.16477084,-0.2944953,-0.5389854,-1.0360065,-0.37596485,-0.19442008,0.9289148,-0.971039,-0.322963,-0.37078872
588393,Vitis_acerifolia,1,-0.605448,0.9174645,-1.0726901,-0.1154036,-0.27993873,-0.15613088,-0.15171063,-0.43968147,0.45507723,0.46267807,0.11376082,-0.51674217,-1.0442145,-0.47186422,-0.102403685,1.3548155,0.24424873,0.004829067,-0.93361694
