INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684,Vitis_acerifolia,1,-0.259302497,2.408795357,0.114537783,0.088835694,-1.376423001,-0.701687157,0.376164138,0.356444299,-0.737340391,0.837335885,0.662771106,-0.176715061,-0.773713052,0.229033276,-0.605875015,2.807327747,1.084378958,-0.535046875,-0.08819516
588141,Vitis_acerifolia,1,-0.080395386,1.470872998,1.410751104,0.122238874,-0.755139112,-0.366932333,-1.216827393,-0.224966541,0.253330797,0.544689596,0.219009548,-0.266732544,-0.256638885,0.090459079,0.176130772,-0.37114653,1.036501527,-0.225338414,-0.021783436
588646,Vitis_acerifolia,1,-0.650014162,-0.365602791,1.031285763,0.494087666,1.272194505,0.044347905,0.237372816,0.507256389,0.419423819,-0.35757187,-0.680163085,-0.353239864,-0.055653028,-0.33395043,-0.144909337,0.044730417,0.198641032,0.153513387,-0.108189508
588378,Vitis_acerifolia,1,-0.626840889,0.413478941,0.493505836,0.502371728,-0.138998941,-1.069910765,-1.088257432,-0.624949396,-0.280138314,-0.056958497,-0.862643778,-0.392868876,-0.837235391,-0.294158429,0.146493509,-0.273637205,-0.894017994,-0.43150875,-0.126166537
588459,Vitis_acerifolia,1,0.863505721,1.078545094,-0.577301323,1.64255476,-0.932210803,0.26857841,-1.110783935,-0.587365806,1.644856811,-0.180857301,0.407025307,-0.234578311,-0.638461232,-0.406899691,0.986213326,1.127816796,-0.640078366,-0.039323583,-0.113319412
1583,Vitis_acerifolia,1,1.091806293,-0.969713807,1.215728879,-0.08271119,0.247647598,0.162076846,-0.823096812,0.233081415,-0.42440328,-0.754788458,-0.779620051,-0.261113077,-0.208836704,-0.433029145,0.875146508,-0.447278589,-0.002818086,-0.689923227,-0.147350267
588448,Vitis_acerifolia,1,-0.867256641,0.330207974,-1.068374991,0.997258246,1.083346128,0.00101991,-0.083792545,-0.023113623,-0.756931305,1.057993412,0.204101071,-0.263499856,-0.659850121,-0.138550147,-0.17163606,1.138518333,-0.431569874,-0.238521904,0.056546029
588144,Vitis_acerifolia,1,-0.4679676,1.118400574,-0.995973289,1.030600667,-0.36346215,-1.096855283,-1.106540203,-1.060052633,-0.998886526,-0.797836661,-0.790769517,-0.307033688,-0.731739998,-0.340560496,-0.851133347,0.142293572,-1.256540418,-0.091836236,0.293409884
588324,Vitis_acerifolia,1,1.037663341,1.524150968,0.372123271,0.373208165,-0.80015558,-0.724284172,-1.225578904,-0.038645707,-0.517953277,-0.140189081,-0.268929958,-0.243005976,-0.661037624,0.183725789,0.505962849,-0.692738175,1.689799905,-0.025091441,-0.25164184
588325,Vitis_acerifolia,1,-0.633714676,1.787265658,-0.486537874,-0.203505784,-1.048609614,-1.040861011,-1.329347253,-0.786671162,-0.870950878,-0.335944444,-0.256811559,-0.372562468,-0.772937119,-0.336426556,-0.468362153,-0.335932821,-0.709877908,-0.240654677,-0.226187199
