IVNO,genus_species,spec_as_int,B11_X,B11_Y,B11_Z,Na23_X,Na23_Y,Na23_Z,Mg26_X,Mg26_Y,Mg26_Z,Al27_X,Al27_Y,Al27_Z,P31_X,P31_Y,P31_Z,S34_X,S34_Y,S34_Z,K39_X,K39_Y,K39_Z,Ca44_X,Ca44_Y,Ca44_Z,Fe54_X,Fe54_Y,Fe54_Z,Mn55_X,Mn55_Y,Mn55_Z,Co59_X,Co59_Y,Co59_Z,Ni60_X,Ni60_Y,Ni60_Z,Cu63_X,Cu63_Y,Cu63_Z,Zn66_X,Zn66_Y,Zn66_Z,As75_X,As75_Y,As75_Z,Rb85_X,Rb85_Y,Rb85_Z,Sr88_X,Sr88_Y,Sr88_Z,Mo98_X,Mo98_Y,Mo98_Z,Cd111_X,Cd111_Y,Cd111_Z
588123,V._candicans_or_hybrid,30,-1.3271161,-0.62677795,-0.2708289,0.4665766,-0.65115345,-0.62464166,-0.58030987,-0.34710473,1.2153622,0.010868215,-0.96449655,-0.35407206,0.11346024,0.65756,3.0012019,0.13493325,0.5662174,0.41122454,0.6940289,0.17722298,-1.0279398,-0.73702365,-0.4966786,1.4422135,-0.64456195,-0.6169921,-0.7590804,-0.995313,-0.70141995,0.44883284,0.1420085,-0.06631215,0.37850413,-0.10271419,-0.18017557,-0.2499813,0.09427675,0.43993527,-0.25564197,-0.383417,-0.50046796,0.23968245,-0.22496311,-0.5230884,-0.34093344,2.5310628,1.1811509,-0.6610075,-0.8600722,-0.47954232,1.5340095,-0.40681943,-0.10249552,0.6330362,-0.35956347,-0.38867182,-0.28302044
588282,V._riparia_or_vulpina,31,1.2853721,-0.15120712,0.12240612,0.3239466,-0.7018485,0.07405112,-0.43173006,-0.30379057,1.0880387,0.1668964,-0.8125946,1.5585341,0.8137602,-0.22392441,-0.6231729,-0.085493945,-0.25770363,2.177057,1.1501809,1.5623543,-0.7287596,-0.5386594,0.14611748,4.284907,-0.5318603,-0.38396835,1.5522684,-0.90579,-0.27344942,3.2983072,-1.016858,-0.38223273,2.7375164,-0.31660393,-0.39364627,-0.039189517,-0.3781431,-0.5706274,-0.62813365,0.82181,-0.57158923,3.1458938,-0.19983967,-0.4122428,0.8070863,2.807355,1.0049213,-0.41954115,-0.6143437,0.06946011,3.557117,-0.43901327,0.065583594,-0.09386671,-0.1085137,-0.17027077,0.25109124
588508,V._unk_NY_a,32,-1.1745764,-0.34284943,0.80251956,0.17421108,-0.8274228,-0.051620055,-0.76015913,-0.849401,0.6287004,0.8098628,-0.77570313,0.1400853,0.3211066,-0.43931764,-0.27745956,-0.9813851,-0.17490304,-0.018900856,0.48200527,0.2526159,-1.1485034,-0.9163358,-0.25909793,2.016349,-0.2001248,-0.8769994,0.28319925,0.04865238,-0.34679404,1.6178439,0.07076938,-0.4772899,0.9926449,-0.2042769,-0.4441207,-0.27584073,-0.72654444,-0.909146,-1.0345039,-0.29517657,-0.94753116,0.36944827,-0.048865154,-0.61926275,-0.28454748,1.7350694,-0.010912019,-0.5948955,-0.8962448,-0.11799037,1.8210092,-0.43170452,-0.4667245,-0.35195938,-0.17419209,-0.16670074,0.08774273
588549,V._unk_NY_b,33,0.18443781,-0.11608935,0.18737489,-0.19750795,-0.7780176,-0.39739227,-1.0227861,-0.6202086,0.25533032,0.25978208,-0.7137176,2.9361663,0.5559424,-0.68927515,-0.94813067,-0.46639487,-0.7898057,0.6643528,0.86534375,0.65031815,0.16683587,-1.2119563,-0.3310779,0.44123396,-0.9745231,-1.0360384,-0.15404902,-0.7980927,-0.6497931,1.1469307,-0.80882794,-0.7513149,1.0103691,-0.4318745,-0.49701926,-0.23918769,0.81161815,-0.5063856,0.19612591,-0.2939151,-1.024468,0.35676405,-0.5004837,-0.50258464,0.5823923,0.36599848,-0.26254195,-0.5515416,-1.1048104,-0.3755945,0.07592954,-0.12733051,-0.4590903,-0.709738,-0.027220652,-0.027683191,-0.14281479
588501,V._unk_PA,34,3.080859,-0.7405551,-0.5943048,1.3053682,-0.5577298,-0.2918244,-0.1801004,1.0867052,3.4608214,0.3488852,-0.7141005,1.4397793,0.6884076,0.09651575,0.7883513,-0.6251403,-0.90894353,1.234794,0.80881006,-0.45793298,-1.3984265,-0.34770203,0.5188987,1.4543825,-0.25941977,-0.5919418,0.50648576,-0.9993975,-0.27364802,2.8856158,-1.0579376,0.22470279,3.5187752,-0.25619236,-0.11065813,0.19543329,0.4924701,-0.20557885,-0.35984161,0.003881355,-0.22462118,1.0796156,13.921425,-0.32883924,1.3926377,0.29445612,-0.5671887,-0.85531086,-0.38265958,0.49472904,1.1136233,-0.84226865,-0.8783116,-0.8214811,0.563931,2.602767,0.74498194
588628,V._unk,35,-1.218512,-0.087662295,-0.5985178,-0.44812673,-0.19793375,-0.17087,-0.34896675,0.026513137,1.0511315,0.85575145,-0.8584697,0.13888636,0.20124207,-0.86650467,-1.209351,-0.66299516,0.12201566,-0.4452348,1.0962096,-0.14580679,-1.4133368,-0.8147329,-0.5218462,0.5910415,-0.33058754,-0.45200372,1.0447772,-0.86414367,-0.35234368,0.45372304,-0.3300867,-0.17891991,0.6566347,-0.26034594,-0.42539003,-0.22362114,0.510713,0.05500972,-0.5952422,1.0653962,-0.74927527,0.39998704,2.2157009,-0.44692546,0.7371488,0.8052835,-0.4452622,-0.8115239,-0.8646087,-0.4699167,0.46558866,-0.17826562,-0.111611165,0.11270015,-0.13764992,-0.1089358,-0.14294301
588529,V._unk_NY_c,36,4.2226458,-0.428496,-0.19507302,3.5531068,-0.72618943,-0.6880984,-0.33313638,-0.32931283,1.1307989,0.2228743,-0.7618342,-0.17570823,0.4156815,-0.48102355,-1.5669634,-0.63923657,-0.9543333,-0.51316726,1.054882,0.16625339,-0.59924084,-1.0795349,-0.46695462,1.2512902,-0.4735051,-0.91712356,0.46653363,-0.9413848,-0.8471101,-0.07525922,-0.8336409,-0.66730875,0.119119376,0.44828326,0.06178059,0.16556585,0.74574697,0.06442241,-0.36522326,0.45483252,-0.52473754,1.3228263,-0.09815361,-0.25864893,0.28910604,0.6400046,-0.3221166,-0.870719,-1.0629983,-0.11532899,1.8419964,-0.6956654,-0.81889105,-0.83304095,-0.043396313,0.004925885,0.1361552
588476,V._unk_NY_d,37,-0.06007513,-1.0125419,-0.7475713,-0.26614374,-0.7564974,-0.5092489,-0.9488255,-0.44372463,0.5834942,-0.035865016,-0.99203867,-0.17883042,0.27544433,2.4797597,4.1714005,-0.87579846,1.2348363,2.691994,0.40999436,-0.03946216,0.22634472,-1.0481273,-0.086721934,1.5231371,-0.6975339,-0.9202356,-0.42520425,-0.4828655,-0.043603458,0.5472272,-0.46389177,-0.1540948,0.13179605,-0.39689076,-0.39495072,-0.329904,0.94500893,1.0362288,0.38537925,-0.3247231,-0.6263256,-0.27502447,-0.6195322,-0.6846056,-0.33338034,0.32437393,-0.61317825,-0.73444575,-1.032975,0.005578389,1.4359012,0.12871654,0.06504852,0.2097571,-0.40587226,0.011226179,-0.11882583
588392,V._andersonii_V. coignetiae x V. riparia (vulpina),38,-0.42650774,-0.30405983,-0.5206898,1.5128849,-0.27344596,-0.10038977,-0.6452734,-0.5319395,0.78351027,-0.17635742,-0.7706367,0.79026735,1.2088112,1.0822028,1.2821168,-0.34239024,-0.6958784,-0.1912588,1.4379518,-0.19822554,-1.5570737,-0.98785335,-0.33748302,0.7023538,-0.50989074,-0.18976992,0.9584052,-1.0733434,-0.85716116,0.4252986,-0.26211718,-0.4626275,1.2792149,-0.32274687,-0.45935172,-0.3032317,-0.35368407,-0.8010849,-0.93625474,-0.12353242,-0.95241934,0.07720045,-0.7765077,-0.5797347,0.64413935,1.0756017,-0.13698234,-0.7864067,-0.9199989,-0.3431807,0.53547806,-0.48610538,-0.31035194,-0.21498242,-0.34369224,-0.27523172,0.05883778
588391,V._champinii_V. mustangensis x V. rupestris_a,39,0.3202619,-0.7405302,-0.41789818,0.5901861,-0.7132373,-0.71154267,0.068223216,-0.008330828,1.4067627,-0.003943555,-0.94679856,-0.3919918,1.2670571,-0.39853057,-1.1305535,-0.313389,-0.22637849,-0.7914357,0.77843004,0.042248465,-0.8136733,-0.021306843,0.044626124,1.5584064,0.08732843,-0.32899228,-0.21642268,-0.71603817,-0.80087656,0.039247047,-0.56720245,-0.9115374,0.030600814,-0.27796897,-0.41497105,-0.31555134,0.57064354,-0.18655062,-0.829505,0.19185902,-0.90097463,-0.25030968,-0.48981836,-0.5517942,-0.58334386,0.9245078,-0.22539577,-0.83912104,-0.28104794,0.02978551,1.392341,0.7323114,0.42211664,0.49410543,0.41172707,-0.23962614,-0.13670969
588371,V._champinii_V. mustangensis x V. rupestris_b,40,-1.216537,0.010055744,-0.17146707,1.1417406,-0.49893013,-0.14808358,-0.9657616,-0.3626372,1.2311097,0.48086554,-0.56997615,0.7396248,0.2690619,-0.10715891,-0.8321321,-0.8540267,0.6650282,1.6361645,-0.21697183,0.2314968,-1.2625148,-0.75750494,0.19964017,2.2576144,-0.3700285,-0.13969755,1.6723154,-0.31111696,-0.12278655,2.8530717,-0.31485325,-0.24461442,2.0012355,-0.29377067,-0.26502943,0.10538816,0.56655586,0.98300046,-0.22510532,-0.045606244,-0.28592765,0.6831653,0.5358914,0.12407061,1.7303671,-0.5978995,-0.77209646,-0.9610896,-0.75718737,0.09513662,1.694622,-0.7307379,-0.7009979,-0.7790373,-0.01177745,-0.15825494,0.71379375
588149,V._doaniana_V. mustangensis x V. acerifolia,41,-1.1330204,-0.18551531,-0.2398236,0.63000983,-0.7047703,-0.015609188,-0.7488359,-0.73283136,0.42722747,-0.22610292,-0.6873823,1.5891337,0.6445493,-0.11546751,-0.38526174,-0.37528607,0.20582432,-1.6450753,0.34427324,-0.7201638,-1.5906929,-0.672812,-0.25793085,1.2751795,-0.35857585,-0.27886248,0.84778804,-0.864371,-0.7111286,0.17645723,-0.85677797,-0.75584537,0.25352746,-0.20447186,-0.3659904,-0.26867014,-0.5078212,-0.7619847,-0.65204436,-0.26914832,-0.9062821,0.04990725,-0.23546988,-0.22777697,0.65655845,3.0966036,1.0284882,-0.44705227,-0.001151399,1.3345894,5.6483026,0.028609948,0.79926515,1.1016743,-0.37337822,-0.4106337,-0.18216674
588257,V._novae-angliae_V. labrusca x V. riparia,42,-0.055855874,-1.0327158,-0.73435885,0.76498616,-1.000175,-0.4032897,-0.9273525,-0.778049,-0.05785534,-0.024774104,-0.84368354,0.084537655,0.08313137,-0.33807668,-0.93815684,-0.64671874,0.17365126,0.4302367,0.7586322,-0.02179772,-1.3018119,-0.9688,-0.450782,0.3462567,-1.0184907,-1.233156,0.05724171,-0.7728796,-0.79407245,0.7014273,-0.8924141,-0.8972272,0.4582232,-0.43912932,-0.36115235,-0.25744146,-0.2655406,-0.04288435,-0.46179682,-0.3057249,-0.97071016,0.43648633,-0.15720034,-0.5344506,0.19147824,-0.16962713,-0.7100973,-0.9166492,-0.9651514,-0.35142276,0.25245783,-0.80178064,-0.7820228,-0.8035965,-0.5557396,-0.34237924,-0.026577497
