IVNO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588123,X_Vitis_sp_candicans_or_hyb_candicans,,-1.3271161,0.4665766,-0.58030987,0.010868215,0.11346024,0.13493325,0.6940289,-0.73702365,-0.64456195,-0.995313,0.1420085,-0.10271419,0.09427675,-0.383417,-0.22496311,2.5310628,-0.8600722,-0.40681943,-0.35956347
588282,X_Vitis_sp_riparia_vulpina,,1.2853721,0.3239466,-0.43173006,0.1668964,0.8137602,-0.085493945,1.1501809,-0.5386594,-0.5318603,-0.90579,-1.016858,-0.31660393,-0.3781431,0.82181,-0.19983967,2.807355,-0.6143437,-0.43901327,-0.1085137
588508,X_Vitis_sp_unknown_NY,,-1.1745764,0.17421108,-0.76015913,0.8098628,0.3211066,-0.9813851,0.48200527,-0.9163358,-0.2001248,0.04865238,0.07076938,-0.2042769,-0.72654444,-0.29517657,-0.048865154,1.7350694,-0.8962448,-0.43170452,-0.17419209
588549,X_Vitis_sp_unknown_NY,,0.18443781,-0.19750795,-1.0227861,0.25978208,0.5559424,-0.46639487,0.86534375,-1.2119563,-0.9745231,-0.7980927,-0.80882794,-0.4318745,0.81161815,-0.2939151,-0.5004837,0.36599848,-1.1048104,-0.12733051,-0.027220652
588501,X_Vitis_sp_unknown_PA,,3.080859,1.3053682,-0.1801004,0.3488852,0.6884076,-0.6251403,0.80881006,-0.34770203,-0.25941977,-0.9993975,-1.0579376,-0.25619236,0.4924701,0.003881355,13.921425,0.29445612,-0.38265958,-0.84226865,0.563931
588628,X_Vitis_sp_unknown,,-1.218512,-0.44812673,-0.34896675,0.85575145,0.20124207,-0.66299516,1.0962096,-0.8147329,-0.33058754,-0.86414367,-0.3300867,-0.26034594,0.510713,1.0653962,2.2157009,0.8052835,-0.8646087,-0.17826562,-0.13764992
588529,X_Vitis_sp_unknown_NY,,4.2226458,3.5531068,-0.33313638,0.2228743,0.4156815,-0.63923657,1.054882,-1.0795349,-0.4735051,-0.9413848,-0.8336409,0.44828326,0.74574697,0.45483252,-0.09815361,0.6400046,-1.0629983,-0.6956654,-0.043396313
588476,X_Vitis_sp_unknown_NY,,-0.06007513,-0.26614374,-0.9488255,-0.035865016,0.27544433,-0.87579846,0.40999436,-1.0481273,-0.6975339,-0.4828655,-0.46389177,-0.39689076,0.94500893,-0.3247231,-0.6195322,0.32437393,-1.032975,0.12871654,-0.40587226
588392,X_Vitis_x_andersonii_v. coignetiae x v. riparia (vulpina),,-0.42650774,1.5128849,-0.6452734,-0.17635742,1.2088112,-0.34239024,1.4379518,-0.98785335,-0.50989074,-1.0733434,-0.26211718,-0.32274687,-0.35368407,-0.12353242,-0.7765077,1.0756017,-0.9199989,-0.48610538,-0.34369224
588391,X_Vitis_x_champinii_v. mustangensis x v. rupestris,,0.3202619,0.5901861,0.068223216,-0.003943555,1.2670571,-0.313389,0.77843004,-0.021306843,0.08732843,-0.71603817,-0.56720245,-0.27796897,0.57064354,0.19185902,-0.48981836,0.9245078,-0.28104794,0.7323114,0.41172707
